TT,Titulo,directores,resumen,claves,objetivos,director1,director2,sinodal1,sinodal2,sinodal3
2015-B013,Laboratorio Virtual de Electrónica Analógica,"alcántara méndez alberto jesús, martínez díaz juan carlos","Se pretende desarrollar un laboratorio virtual de electrónica analógica utilizando los conocimientos de electrónica y programación adquiridos en el transcurso de la carrera, esto con el propósito de satisfacer la demanda de los equipos de medición que se encuentran en los laboratorios de electrónica de la Escuela Superior de Cómputo Apoyando al mismo tiempo a la optimización del espacio de almacenamiento que ocupan algunos de estos equipos, de tal manera que puedan ser portátiles y que los alumnos puedan utilizarlos con mayor comodidad y eficiencia","Electrónica analógica, instrumentación, sistemas electrónicos, programación.",Desarrollar un multímetro y generador de funciones como instrumentos de medición necesarios para implementar un laboratorio virtual de electrónica analógica con la capacidad de poder desarrollar e incorporar otros instrumentos junto con una aplicación de escritorio.,alcántara méndez alberto jesús,martinez díaz juan carlos,del prado felipe de jesus figueroa,almazán farfán rocío,peredo valderrama rubén
2015-B027,"Sistema de Control automático para un invernadero, de forma remota utilizando una
aplicación móvil","ferrer tenorio jorge, carvajal gamez blanca esther","El poder contribuir a la preservación del medio ambiente resulta indispensable, hoy en día debido a que cada vez son menores las áreas verdes y las áreas de cultivo también se vuelven menos productivas En este trabajo terminal se propone desarrollar un invernadero que colabore en proteger el proceso de crecimiento del cultivo de algunas especies, por lo cual para hacerlo de una manera más eficiente, se propone desarrollar un sistema que controle de manera difusa las variables de temperatura, humedad y ventilación que serán censadas con ayuda de un micro controlador para la trasmisión de datos dentro del invernadero, el cual enviará y recibirá la información para el monitoreo y control de las variables de temperatura, de la humedad y de la ventilación mediante una computadora y también desde una aplicación para dispositivos móviles","Aplicación móvil, Administración, Control difuso, Censado,","General Implementar un sistema de control para un invernadero monitoreado y controlado por medio de una aplicación móvil, es decir la automatización de las variables del cuidado fundamental para el cultivo en casi de ser flores, verduras, frutas hasta árboles, mediante el uso de sensores, un micro controlador y un dispositivo móvil, a fin de obtener un manejo sencillo.  Objetivos particulares        Diseñar un invernadero adecuado sus necesidades específicas que así lo requiera las especies, así como también que sea rentable Automatizar el invernadero de modo que sea fácil de controlar las variables de temperatura, humedad, generar el riego de los cultivos automáticamente cuando estos lo necesiten. Ventilar los cultivos automáticamente cuando la temperatura dentro del invernadero sea inadecuada para el tipo de cultivo que se aloje dentro de él. Conexión por internet Implementar un módulo para la gestión de las alarmas de forma remota Energizar los circuitos electrónicos por medio de la captación de energía solar, esto con el fin de que sea un invernadero ecológico y no tenga repercusiones negativas al medio ambiente.",ferrer tenorio jorge,carvajal gámez blanca esther,franco martinez edgardo adrián,diaz toala iván,estrada elizalde serafín
2015-B047,Aplicación web de un pizarrón virtual con colaboración simultánea entre varios usuarios por turnos para clases en línea en la ESCOM,cruz garcía daniel,"Se propone el desarrollo de una aplicación web colaborativa que simule el momento de interacción presencial que se experimenta, dentro de un salón de clases, cuando un docente pide a un estudiante que pase al frente del grupo para participar trazando en el pizarrón un dibujo de estilo libre, una figura geométrica, escribiendo una palabra, un número o también borrando algún trazo de forma colaborativa, con el fin de aportar una nueva solución para simular esta interacción presencial La aplicación web permitirá a varios usuarios conectarse a una sala virtual para visualizar y colaborar simultáneamente por turnos en un mismo espacio interactivo, a la cuál llamaremos pizarrón virtual colaborativo","Aplicación web colaborativa, Diseño responsivo, Participación organizada por turnos, historial de cambios.","Objetivo general Desarrollar una aplicación web colaborativa y responsiva llamado pizarrón virtual colaborativo que, funja como material de apoyo tanto para docentes como alumnos que les permita tener clases en línea más didácticas mediante la representación de texto, trazos libres y figuras geométricas. Objetivos específicos Desarrollar módulos con una interfaz sencilla colaborativa que permita a los usuarios dibujar figuras libres en un lienzo en blanco, que permitan la edición por turnos en el espacio del pizarrón virtual. Desarrollar un módulo de administración que permita el registro de los usuarios, su rol, su carga masiva de los datos sensibles de los usuarios al servidor y mantenimiento a la base de datos, así como la consulta de los trazos realizados por el alumno o el docente en la fecha realizada. Utilizar la base datos como repositorio de los trazos realizados por los usuarios para la generación de material de apoyo para los docentes y alumnos. Desarrollar un módulo colaborativo que permita la interacción entre los distintos usuarios del sistema",cruz garcía daniel,,,,
2015-B066,"WissESCOM: Organización de las actividades académicas del alumno en ESCOM
mediante una aplicación móvil en Android.","moreno cervantes axel, cifuentes álvarez alejandro sigfrido","Un estudiante de la Escuela Superior de Cómputo (ESCOM) se enfrenta a un sin fin de actividades que debe atender cotidianamente dentro de su vida personal y académica, además la falta de una buena planeación de su tiempo le conduce a un bajo aprovechamiento del mismo Motivo por el cual en este trabajo terminal se pretende desarrollar una aplicación móvil llamada wissESCOM que funja como auxiliar en la administración del tiempo que al alumno le sea posible destinar para realizar sus distintas actividades, con esto ayudará al alumno a mantenerlo informado de las actividades pendientes wissESCOM estará basado en el modelo cliente  servidor para obtener información de los eventos que se realizarán en la ESCOM","Aplicación Móvil, Comunicación en Red, Administración del tiempo, Ruta Crítica.",Implementar una herramienta mediante una aplicación móvil en Android que funja como auxiliar para los estudiantes de la Escuela Superior de Cómputo para administrar sus distintas actividades académicas en un periodo de tiempo.,moreno cervantes axel,cifuentes álvarez alejandro sigfrido,hernández jaime josefina,hernández cruz macario,bautista rosales sandra ivette
2021-B001,Sistema Web para la gestión de eventos académicos (SIGEA).,franco martínez edgardo adrián,"El presente documento describe la propuesta de trabajo terminal, la cual pretende facilitar la gestión de un evento académico a través de un sistema Web, que de soporte a las diferentes fases que implica la organización, desarrollo y conclusión de un evento académico Este sistema tiene su aplicación en eventos deportivos, expos, concursos, conferencias, etc Logrando a través del sistema Web mejorar la gestión que actualmente se hace por parte de alumnos y profesores al organizar eventos académicos y permitiendo el almacenamiento centralizado de la información de los eventos que permite la generación de estadísticas y documentación de una manera más ágil","Sistema Web, Organización de eventos, Software de gestión, eventos académicos.","Objetivo general Desarrollar un sistema Web de gestión de eventos académicos que permita llevar el seguimiento, control, y la gestión de un evento en sus diferentes fases (pre, durante, post), así como almacenar la información digital producida durante sus fases.  Objetivos específicos       Implementar el seguimiento de los participantes. Control de la agenda del evento Gestionar y almacenar la documentación del evento en sus diferentes fases Implementar un módulo de reportes Implementar el sistema en al menos 1 evento académico",franco martinez edgardo adrián,,,,
2021-B002,"Electronic-Hub: Aplicación WEB con simulador de circuitos electrónicos
en la nube para trabajos escolares colaborativos",alcántara méndez alberto jesús,"El presente documento describe el desarrollo del sistema Electronic-hub, una plataforma WEB con la capacidad de crear modelos para la unidad de aprendizaje Circuitos Eléctricos del plan de estudios 2020 de la carrera de Ingeniera en Sistemas Computacionales de la ESCOM, con el objetivo de solucionar los problemas que se presentan a la hora de trabajar a distancia en simulaciones de circuitos electrónicos, que pueden derivar en problemas más grandes como pérdida de tiempo, de recursos y en la industria hasta de dinero Este sistema estará integrado por una aplicación web, en la cual, diversos usuarios podrán acceder con una cuenta al sistema, una vez registrados, crear simulaciones y compartirlas con otros usuarios, para trabajar de manera colaborativa y conjunta a través de la interfaz de modelado","Cómputo en la nube, Sistemas distribuidos, Simulación de circuitos eléctricos, Programación Web.",Objetivo General Crear un sistema distribuido que permita diseñar circuitos eléctricos de manera colaborativa para la unidad de aprendizaje: circuitos eléctricos del plan de estudios 2020 de la carrera de Ingeniería en Sistemas Computacionales de la ESCOM a través de una aplicación web para que los alumnos puedan realizar trabajo a distancia y los profesores puedan interactuar con ellos.  Objetivos Particulares      Gestionar la información y documentos de los usuarios a través de un manejo de sesiones y cuentas. Generar una interfaz amigable con los usuarios. Crear un sistema capaz de integrar trabajo colaborativo a la distancia. Crear una infraestructura capaz de soportar la comunicación de forma optimizada entre los usuarios.,alcántara méndez alberto jesús,,,,
2021-B003,Diseño de un sistema de monitoreo y control para vehículo eléctrico,"alberto jesús alcántara méndez, de anda ismael cervantes","El presente trabajo terminal propone desarrollar un sistema de monitoreo y control de elementos que se instalaron en los vehículos de combustión interna convertidos a eléctricos El sistema tendrá como finalidad observar el funcionamiento de los componentes que hacen funcionar el vehículo, además de permitir a las personas visualizar el estado de cada uno de los componentes a través de una interfaz gráfica (aplicación móvil), las personas que estén interesadas en realizar dicha conversión en sus vehículos en México","Ordenador de placa reducida, electrónica analógica, instrumentación, sensores, sustentabilidad, sistema de monitoreo y desplegado.",General Desarrollar un sistema de monitoreo basado en un ordenador de placa reducida de un vehículo de combustión interna convertido a vehículo eléctrico para las variables internas del mismo. Objetivos específicos  Monitorear la carga del banco de batería. Monitorear el estado en el que se encuentre el motor (medir RPM). Monitorear el estado en el que se encuentre el sistema de frenos. Monitorear el funcionamiento de la batería auxiliar. Monitorear el estado del cargador AC/DC. Monitorear el funcionamiento del conversor DC/DC. Obtener la información de las variables en la controladora (Temperatura). Desarrollar el sistema de control e interfaz gráfica. Mostrar el estado de las variables en la interfaz gráfica.,alcántara méndez alberto jesús,de anda ismael cervantes,,,
2021-B004,"Sistema de gestión de asistencia y actividades para clubes escolares
SIGA-CLUB",franco martínez edgardo adrián.,"La presente propuesta de trabajo terminal propone el desarrollo de un sistema Web capaz de gestionar las actividades extracurriculares dentro de una institución académica, donde existan usuarios diferentes  capaces de colaborar y gestionar la actividad extracurricular de una manera rápida y con mayor orden El desarrollo del sistema Web pretende la mejora continua de las actividades que se realizan por parte de los grupos de trabajo extracurricular, así como el almacenamiento de la información digital que se produce para su consulta y estadísticas en la posteridad","Gestión de actividades, actividad extracurricular, sistema Web, base de datos.","Objetivo general Desarrollar un sistema de gestión para los grupos de trabajo extracurricular en una institución, que permitirá poder calendarizar y organizar las actividades, inventariar los recursos y gestionar la participación y comunicación de los miembros del grupo, consultar estadísticas, indicadores de avance y asistencias en las actividades, lo que también permite la generación de constancias y documentación de participación en las actividades.  Objetivos específicos       Generación de sistema Web con reactividad para dispositivos móviles Plataforma que implemente un nivel de seguridad requerido por los grupos de trabajo extracurricular Implementación de un sistema de comunicación y notificaciones entre participantes y comunidades creadas dentro del sistema Web Implementación del sistema Web en al menos un grupo extracurricular de trabajo en la ESCOM, IPN Descripción de resultados de la implementación  Viabilidad Se estima que este trabajo terminal sea usado por todos los grupos de trabajo extracurriculares de la ESCOM IPN, inicialmente sea la herramienta principal del “Club de algoritmia”  y posteriormente replicarlo en las escuelas del IPN que cuenten con actividades extracurriculares con una estructura de gestión e información similar. Es un proyecto viable ya que se puede decir que es una combinación de un sistema de asistencia con un sistema de gestión de actividades, tales como los deportes y talleres artísticos que existen en el IPN. , . Un sistema informático web es más viable debido a que los sistemas de escritorio pueden causar inconvenientes al momento de actualizar el software; además que el tiempo de respuesta del sistema no será el mismo, sino que dependerá de las características propias de cada computador, impidiendo así la escalabilidad del sistema, aunque en casos particulares convendrá desarrollar un sistema de escritorio, esto dependerá de las funcionalidades que se requiera implementar. El proceso distributivo, al ser administrado por más de una persona, debe estar relacionado con un artefacto más dinámico. Es por esto por lo que implementar un Sistema Informático en la Web o aplicación web, es la mejor manera de solucionar este inconveniente.",franco martinez edgardo adrián,,,,
2021-B005,"“Mariposa Sagrada: Historieta animada-interactiva enfocada a la
Mariposa Monarca”","sánchez cruz virginia, pérez de los santos mondragon tanibet","Durante la última década, la población de mariposas Monarca ha disminuido drásticamente Aunque se han creado diferentes fuentes de información sobre la preservación de este artrópodo, estas están enfocadas hacia la comunidad científica-biológica, por ello, proponemos desarrollar una historieta animada que describa la ruta de la mariposa Monarca y los obstáculos a los que se enfrenta Con el fin de divulgar, a niños y jóvenes, la importancia de la conservación y protección del hábitat de esta especie Para el desarrollo del proyecto nos apoyaremos en la metodología en Espiral, donde integramos tres ciclos los cuales son Prototipo 1, Alpha y Beta","Animación, Mariposa Monarca, Medio ambiente, Realidad virtual.",Desarrollar una historieta animada-interactiva que muestre la ruta y los desafíos naturales o no naturales que enfrenta la Mariposa Monarca para llegar a su destino; con el fin de promover la conciencia en la conservación del hábitat de este insecto.,sánchez cruz virginia,pérez de los santos mondragón tanibet,,,
2021-B006,"Aplicación web progresiva para administrar la coordinación de fútbol
asociación, fútbol 7 y fútbol rápido del Instituto Politécnico Nacional.","rocío palacios solano, enriquez zarate jose asuncion","Se pretende crear una aplicación web progresiva* la cual administrará a la coordinación de fútbol del IPN para fútbol 7, fútbol rápido y fútbol asociación, con el objetivo de facilitar y mejorar la organización de los Encuentros Académicos Interpolitécnicos* (EAI, en adelante denominados como Interpolitécnicos)","Aplicación web progresiva, Bases de datos, Futbol rápido, Futbol asociación, Futbol 7.","Objetivo general Desarrollar e implementar una aplicación web progresiva que permita tener un mejor control, manejo y organización de los procesos administrativos en los torneos interpolitécnicos de las modalidades de fútbol. Objetivos específicos Desarrollar un módulo de registro para los jugadores de las unidades académicas en las tres diferentes modalidades y así generar su registro como jugador.  Validar el registro del jugador.  Desarrollar los algoritmos para los 3 diferentes sistemas de competencia.  Generar rol de juego para los interpolitécnicos.  Clasificar a los equipos por nivel académico sea nivel superior o nivel media superior y por género femenil y varonil.  Automatizar la generación de las estadísticas obtenidas con base en los resultados de cada partido.",palacios solano rocío,enríquez zárate josé asunción,,,
